City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,kingston,17.997,-76.7936,149.1888888888889,83,100,2.11,JM,1720099365
67,vorkuta,67.5,64.0,147.45555555555558,60,0,8.68,RU,1720099416
68,callao,-12.0667,-77.15,143.67222222222225,88,100,2.06,PE,1720099418
69,kerman,30.2832,57.0788,154.48333333333332,19,40,8.23,IR,1720099420
70,quellon,-43.1167,-73.6167,136.17222222222225,76,42,4.27,CL,1720099422
71,st. john's,47.5649,-52.7093,144.2444444444444,79,75,4.12,CA,1720099424
72,east end,34.5507,-92.341,150.60555555555553,86,0,2.92,US,1720099426
73,cill airne,52.05,-9.5167,141.76666666666668,82,100,8.23,IE,1720099284
74,lagos,6.5833,3.75,150.73888888888888,86,99,2.85,NG,1720099429
75,gadzhiyevo,69.2551,33.3362,140.94444444444446,67,84,2.52,RU,1720099432
76,port elizabeth,-33.918,25.5701,144.80555555555554,60,0,10.29,ZA,1720099274
77,ringsted,55.4426,11.7901,143.96666666666664,78,28,9.45,DK,1720099435
78,ain bessem,36.2933,3.6732,152.2611111111111,12,0,3.92,DZ,1720099437
79,karratha,-20.7377,116.8463,144.23333333333332,29,5,5.8,AU,1720099419
80,glendive,47.1053,-104.7125,142.22777777777776,75,100,4.97,US,1720099441
81,kuqa,41.7278,82.9364,150.6,20,98,8.04,CN,1720099443
82,bilibino,68.0546,166.4372,142.5888888888889,59,100,2.11,RU,1720099444
83,bonito,-21.1211,-56.4819,148.43333333333334,34,0,2.38,BR,1720099446
84,kota,25.1833,75.8333,149.2555555555556,84,100,4.41,IN,1720099331
85,kincardine,56.0667,-3.7167,142.9,62,24,9.53,GB,1720099452
86,banda aceh,5.5577,95.3222,149.32777777777778,76,97,4.87,ID,1720099255
87,tazovsky,67.4667,78.7,144.1833333333333,67,100,1.62,RU,1720099456
88,fort riley north,39.1108,-96.8139,144.9888888888889,93,100,2.57,US,1720099458
89,invercargill,-46.4,168.35,136.13888888888889,94,81,2.24,NZ,1720099461
90,la passe,45.5549,-0.8967,145.7111111111111,68,5,5.52,FR,1720099463
91,georgetown,5.4112,100.3354,149.5111111111111,72,20,1.03,MY,1720099466
92,ilulissat,69.2167,-51.1,140.0888888888889,46,20,5.66,GL,1720099468
93,daru,-9.0763,143.2092,147.86111111111111,90,99,7.58,PG,1720099470
94,port mathurin,-19.6833,63.4167,146.44444444444446,67,100,10.63,MU,1720099473
95,sitka,57.0531,-135.33,139.88333333333333,93,99,0.63,US,1720099475
96,balcarce,-37.8462,-58.2552,137.31111111111113,60,0,2.24,AR,1720099477
97,nishinoomote,30.7333,131.0,149.0722222222222,91,1,4.64,JP,1720099479
98,mandalgovi,45.7625,106.2708,145.60555555555553,52,100,6.41,MN,1720099481
99,itaituba,-4.2761,-55.9836,150.42777777777778,56,73,1.56,BR,1720099483
100,bredasdorp,-34.5322,20.0403,143.28333333333336,53,8,4.54,ZA,1720099485
101,hobyo,5.3505,48.5268,149.38333333333333,65,59,13.81,SO,1720099488
102,illela,13.7292,5.2975,153.39999999999998,37,92,2.83,NG,1720099490
103,cutral-co,-38.9469,-69.2089,136.10555555555555,10,3,1.34,AR,1720099492
104,monte santo de minas,-21.1897,-46.9803,147.25555555555556,34,0,2.06,BR,1720099496
105,sao vicente,-23.9631,-46.3919,149.13888888888889,58,0,1.96,BR,1720099405
106,isangel,-19.55,169.2667,146.35555555555555,84,0,3.02,VU,1720099500
107,luderitz,-26.6481,15.1594,144.51666666666668,56,33,9.88,NA,1720099502
108,hawaiian paradise park,19.5933,-154.9731,146.0222222222222,96,51,0.45,US,1720099505
109,haiku-pauwela,20.9219,-156.3051,146.70555555555555,76,15,4.47,US,1720099507
110,ola,59.5833,151.2833,139.5611111111111,92,56,1.3,RU,1720099509
111,yellowknife,62.456,-114.3525,143.66666666666666,85,75,4.02,CA,1720099505
112,kapuskasing,49.4169,-82.4331,143.44444444444446,72,40,5.66,CA,1720099513
113,remire-montjoly,4.9167,-52.2667,150.09444444444446,79,75,2.06,GF,1720099515
114,stanley,54.868,-1.6985,142.70000000000002,58,40,11.32,GB,1720099517
115,nar'yan-mar,67.6713,53.087,142.2722222222222,84,100,11.4,RU,1720099519
116,vryburg,-26.9566,24.7284,143.41666666666666,19,0,4.72,ZA,1720099520
117,anloga,5.7947,0.8973,149.15,74,97,7.22,GH,1720099422
118,fale old settlement,-9.3852,-171.2468,149.6888888888889,79,40,9.93,TK,1720099524
119,chonchi,-42.6128,-73.8092,134.62777777777777,90,59,1.4,CL,1720099526
120,new norfolk,-42.7826,147.0587,136.10555555555555,97,3,1.43,AU,1720099528
121,dobeln,51.1167,13.1167,145.18888888888887,76,91,8.05,DE,1720099248
122,nogliki,51.8333,143.1667,142.69444444444446,93,9,2.25,RU,1720099534
123,yanji,42.9075,129.5078,144.83333333333334,82,100,0.9,CN,1720099416
124,afaahiti,-17.75,-149.2833,146.64444444444445,81,60,9.18,PF,1720099538
125,papatowai,-46.5619,169.4708,138.10555555555553,82,100,4.69,NZ,1720099540
126,bandarbeyla,9.4942,50.8122,152.11666666666667,48,100,11.1,SO,1720099541
127,broceni,56.7,22.5333,144.36666666666667,56,100,3.27,LV,1720099543
128,palikir - national government center,6.9248,158.1611,147.53333333333333,100,75,2.06,FM,1720099547
129,nadi,-17.8,177.4167,146.75,88,20,1.54,FJ,1720099549
130,riosucio,5.4216,-75.7032,142.46666666666667,95,100,1.0,CO,1720099551
131,klyuchi,52.2667,79.1667,146.20000000000002,61,100,3.0,RU,1720099553
132,talnakh,69.4865,88.3972,142.89444444444445,64,99,2.92,RU,1720099554
133,petropavlovsk-kamchatsky,53.0452,158.6483,138.60000000000002,100,100,2.0,RU,1720099556
134,sanming,26.2486,117.6186,150.0,68,5,1.58,CN,1720099558
135,vallenar,-28.5708,-70.7581,141.07777777777778,59,9,0.95,CL,1720099560
136,christchurch,-43.5333,172.6333,134.79999999999998,100,7,0.0,NZ,1720099374
137,puerto baquerizo moreno,-0.9,-89.6,145.79444444444445,85,100,3.09,EC,1720099564
138,uray,60.1247,64.7758,150.42222222222222,43,92,4.07,RU,1720099566
139,bubaque,11.2833,-15.8333,149.0888888888889,79,100,7.52,GW,1720099568
140,bamboo flat,11.7,92.7167,149.0,83,75,2.06,IN,1720099570
141,wynyard,-41.0,145.7167,136.42777777777778,80,0,1.97,AU,1720099572
142,broken hill,-31.95,141.4333,139.66666666666666,66,66,7.12,AU,1720099574
143,murun-kuren,49.6342,100.1625,144.79444444444445,58,96,1.2,MN,1720099576
144,luanda,-8.8368,13.2343,148.41666666666666,61,20,5.66,AO,1720099307
145,flying fish cove,-10.4217,105.6791,148.3166666666667,88,100,7.72,CX,1720099579
146,benguela,-12.5763,13.4055,147.65555555555554,66,33,4.61,AO,1720099581
147,turpan,42.9333,89.1667,154.55,16,100,7.28,CN,1720099583
148,punta arenas,-53.15,-70.9167,136.22777777777776,70,75,3.6,CL,1720099587
149,thompson,55.7435,-97.8558,141.24444444444444,88,40,3.6,CA,1720099589
150,naryn,41.4287,75.9911,146.11666666666667,31,32,6.97,KG,1720099591
151,rostovka,55.3842,71.8891,145.66666666666666,72,98,4.07,RU,1720099594
152,dunedin,-45.8742,170.5036,137.0,82,90,0.89,NZ,1720099596
153,codrington,-38.2667,141.9667,140.45,66,99,4.08,AU,1720099598
154,freeport,40.6576,-73.5832,147.70000000000002,77,59,2.68,US,1720099600
155,raychikhinsk,49.7838,129.4121,147.31111111111113,50,6,2.45,RU,1720099602
156,la malbaie,47.6575,-70.1559,146.36111111111111,83,71,4.83,CA,1720099604
157,mount gambier,-37.8333,140.7667,137.66666666666666,94,0,2.66,AU,1720099606
158,kenai,60.5544,-151.2583,139.57222222222222,90,100,3.3,US,1720099608
159,selfoss,63.9331,-20.9971,140.03333333333333,79,100,4.67,IS,1720099610
160,prachuap khiri khan,12.2167,99.75,146.76666666666668,83,100,1.7,TH,1720099612
161,lihue,21.9789,-159.3672,146.7388888888889,88,78,5.68,US,1720099613
162,bouarfa,32.53,-1.95,155.63333333333333,6,4,6.97,MA,1720099615
163,beledweyne,4.7358,45.2036,153.7111111111111,28,85,8.96,SO,1720099617
164,egilsstadir,65.2653,-14.3948,138.94444444444446,76,100,4.12,IS,1720099619
165,forster,-32.1667,152.5167,140.26111111111112,85,99,6.3,AU,1720099621
166,kiunga,-6.1219,141.2906,147.09444444444443,99,96,2.16,PG,1720099623
167,chajari,-30.7505,-57.9796,140.3777777777778,60,100,3.44,AR,1720099629
168,alenquer,-1.9417,-54.7383,150.20555555555555,62,59,2.59,BR,1720099630
169,darwin,-12.4611,130.8418,146.18888888888887,48,0,3.6,AU,1720099632
170,san antonio de pale,-1.4014,5.6325,147.23333333333332,81,80,5.68,GQ,1720099634
171,sisimiut,66.9395,-53.6735,138.9611111111111,56,0,1.17,GL,1720099636
172,cabo san lucas,22.8909,-109.9124,149.02222222222224,33,19,0.99,MX,1720099638
173,utrik,11.2278,169.8474,149.38888888888889,79,98,6.39,MH,1720099640
174,martapura,-3.4167,114.85,148.44444444444446,94,20,1.03,ID,1720099398
175,benjamin constant,-4.3831,-70.0311,147.34444444444446,71,84,0.53,BR,1720099644
176,udachny,66.4167,112.4,142.82777777777775,42,6,2.89,RU,1720099646
177,chernyshevskiy,63.0128,112.4714,142.5888888888889,65,0,1.05,RU,1720099650
178,tolanaro,-25.0319,46.9987,147.07222222222222,72,0,5.03,MG,1720099652
179,rabigh,22.7986,39.0349,154.13888888888889,31,1,6.48,SA,1720099654
180,dudinka,69.4058,86.1778,144.32777777777778,67,94,2.07,RU,1720099657
181,vilyuysk,63.7553,121.6247,140.54444444444445,67,7,3.11,RU,1720099659
182,leshan,29.5623,103.7639,147.36666666666667,91,100,0.87,CN,1720099661
183,polyarnyy,69.1989,33.4478,140.88888888888889,68,83,2.39,RU,1720099661
184,nemuro,43.3236,145.575,141.50555555555556,100,96,2.84,JP,1720099665
185,andovoranto,-18.95,49.1,147.0111111111111,67,18,3.11,MG,1720099667
186,katsuura,35.1333,140.3,147.75555555555556,93,1,2.5,JP,1720099576
187,arraial do cabo,-22.9661,-42.0278,147.29444444444445,67,0,3.7,BR,1720099605
188,moron,-34.6534,-58.6198,138.91666666666666,80,100,4.92,AR,1720099672
189,nova sintra,14.8667,-24.7167,146.40555555555554,82,36,2.37,CV,1720099674
190,aripuana,-9.1667,-60.6333,148.11111111111111,68,90,0.67,BR,1720099676
191,shimoda,34.6667,138.95,148.5111111111111,82,5,5.59,JP,1720099527
192,el bauga,18.262,33.9081,157.17222222222225,14,54,3.24,SD,1720099682
193,laguna,38.421,-121.4238,147.14444444444447,59,0,1.12,US,1720099684
